"carat","cut","color","clarity","depth","table","price","x","y","z"
1.02,"Premium","F","SI2",63,58,4238,6.44,6.38,4.04
2.01,"Very Good","J","VS1",61.2,60,14812,8.06,8.14,4.96
1.01,"Premium","G","VS1",59.9,59,6353,6.51,6.48,3.89
0.5,"Good","G","IF",64,55,1976,5.05,5.08,3.24
1.02,"Ideal","D","SI2",61.4,56,4946,6.42,6.57,3.99
2.02,"Ideal","J","VS1",61.8,57,16397,8.06,8.13,5
0.36,"Very Good","D","SI1",62.8,57,619,4.51,4.54,2.84
0.81,"Ideal","E","SI2",60.3,57,2864,6.07,6.04,3.65
1.03,"Premium","E","VS1",62.8,58,8629,6.46,6.41,4.04
0.71,"Premium","E","VVS1",61.8,56,3936,5.71,5.68,3.52
1.13,"Premium","E","SI2",62.5,57,3898,6.68,6.63,4.16
0.33,"Ideal","I","VVS2",61,56,722,4.48,4.51,2.74
0.3,"Very Good","D","SI1",62.6,59,476,4.24,4.26,2.66
1.02,"Ideal","F","VS2",62.7,54,6479,6.42,6.5,4.05
1.23,"Premium","E","SI1",59.2,62,7274,7.05,7,4.16
1.76,"Very Good","H","SI1",62.6,58,12361,7.7,7.66,4.81
0.4,"Ideal","G","SI2",62.6,54,573,4.73,4.76,2.97
0.34,"Ideal","G","IF",62.2,56,984,4.45,4.46,2.77
0.23,"Premium","G","VVS2",58.1,59,550,4.09,4.03,2.36
0.32,"Ideal","F","VS2",62.3,56,645,4.37,4.4,2.73
0.72,"Very Good","J","SI1",62.7,56,1666,5.66,5.72,3.57
0.58,"Very Good","G","VVS2",62.1,58,1872,5.35,5.4,3.34
0.69,"Ideal","F","VVS1",61.6,56,3784,5.69,5.71,3.51
0.5,"Ideal","F","VS2",61.4,57,1632,5.16,5.13,3.16
1.7,"Premium","J","SI2",63,60,7650,7.59,7.53,4.76
0.51,"Very Good","E","SI1",63.5,54,1443,5.1,5.07,3.23
0.31,"Premium","E","VS2",60.8,58,680,4.35,4.37,2.65
0.59,"Good","F","SI1",59.5,62,1318,5.45,5.5,3.26
0.71,"Good","E","SI2",57.8,60,2215,5.86,5.83,3.38
0.31,"Ideal","H","VS1",62.6,55,698,4.38,4.34,2.73
0.7,"Good","E","VS1",58.7,60,3148,5.79,5.83,3.41
1.02,"Very Good","J","VS2",59.3,58,3796,6.56,6.62,3.91
1.02,"Very Good","H","SI2",59.7,58,4303,6.53,6.57,3.91
0.31,"Premium","E","SI1",58.7,60,651,4.48,4.45,2.62
0.28,"Ideal","F","VVS2",61.1,57,642,4.22,4.26,2.59
1.05,"Very Good","H","VS2",59,59,5370,6.68,6.71,3.95
1.21,"Premium","I","VS1",61.9,58,5739,6.76,6.81,4.2
1.2,"Ideal","H","VS2",60.8,55,7190,6.9,6.85,4.18
0.91,"Very Good","J","VS2",61.9,59,3478,6.11,6.16,3.8
1.53,"Ideal","F","SI1",62.5,57,11525,7.38,7.31,4.59
0.31,"Ideal","D","VVS2",61.9,57,982,4.35,4.31,2.68
0.35,"Very Good","E","VS2",62.1,59,767,4.46,4.49,2.78
1,"Fair","F","SI1",67.1,57,4328,6.06,6.1,4.08
0.64,"Very Good","E","VS2",63.4,54,2114,5.52,5.49,3.49
0.5,"Fair","D","SI1",64.6,61,1238,5.05,4.95,3.23
0.5,"Ideal","J","VS2",61.6,57,1099,5.08,5.12,3.14
1.06,"Premium","I","VS1",61.2,57.1,5550,6.56,6.59,4.03
0.7,"Ideal","F","SI1",62.1,56,2596,5.67,5.65,3.51
1,"Premium","E","SI1",60.8,60,5470,6.45,6.42,3.91
0.42,"Good","D","SI2",63.2,57,653,4.75,4.77,3.01
0.9,"Premium","F","SI1",62.5,62,3881,6.11,6.08,3.81
1,"Very Good","G","VS2",62.7,59,6208,6.32,6.38,3.98
0.53,"Very Good","G","VVS2",60.5,59,1724,5.24,5.29,3.19
1.01,"Very Good","E","SI1",63.1,58,5226,6.4,6.31,4.01
2.38,"Premium","J","SI2",60.6,59,10716,8.66,8.63,5.24
0.53,"Premium","D","SI2",59.3,61,1318,5.29,5.26,3.13
1.24,"Ideal","I","VS2",61.8,56,7544,6.86,6.89,4.25
0.62,"Premium","J","VS2",61.2,59,1166,5.42,5.52,3.35
2.01,"Premium","H","SI1",61.3,59,17849,8.16,8.08,4.98
0.37,"Very Good","G","VS1",59.2,61,746,4.63,4.7,2.76
2.02,"Very Good","I","VS2",63.2,53,16179,8.09,8.18,5.14
0.4,"Ideal","E","VVS2",62.5,54,926,4.75,4.76,2.97
1.41,"Premium","H","VS2",62,58,8686,7.19,7.12,4.44
0.53,"Ideal","G","VS1",61.8,55,1813,5.22,5.17,3.21
0.3,"Ideal","D","VS2",62,55,911,4.34,4.31,2.68
1,"Fair","I","VS2",65.7,58,3265,6.25,6.2,4.09
0.71,"Very Good","H","SI1",62.1,61,2354,5.63,5.71,3.52
1.11,"Premium","H","SI1",61.9,58,4960,6.63,6.59,4.09
0.3,"Ideal","I","SI1",61.9,57,422,4.3,4.32,2.67
0.7,"Ideal","F","SI1",62.3,56,2515,5.68,5.72,3.55
0.72,"Ideal","D","SI2",61.1,58,2514,5.76,5.79,3.53
0.91,"Very Good","D","SI2",62.3,57,3848,6.14,6.22,3.85
0.36,"Very Good","E","SI1",62.9,56,631,4.52,4.57,2.86
0.9,"Very Good","G","SI2",62,59,3445,6.14,6.19,3.82
0.57,"Very Good","G","VS2",63.3,56,1641,5.3,5.25,3.34
0.6,"Very Good","E","SI2",63.2,60,1250,5.32,5.28,3.35
0.32,"Ideal","H","SI1",61,56,479,4.4,4.42,2.69
0.61,"Very Good","I","IF",60.2,57,2057,5.49,5.58,3.33
0.41,"Very Good","G","SI1",62.7,55,719,4.77,4.8,3
0.4,"Ideal","G","VVS1",61.2,56,1043,4.77,4.8,2.93
1.25,"Premium","G","VVS1",62,58,7389,6.96,6.87,4.29
0.38,"Ideal","D","VVS1",60.3,56,1867,4.72,4.74,2.85
0.5,"Very Good","E","SI1",63,61,1279,5.03,5.07,3.18
1.05,"Ideal","G","VS2",61.7,56,6350,6.54,6.52,4.03
1.51,"Fair","I","VS2",64.6,58,8287,7.19,7.15,4.63
0.61,"Very Good","D","VS2",61.5,57,2266,5.45,5.48,3.36
1.6,"Ideal","G","IF",59.8,54,16547,7.75,7.63,4.6
0.33,"Ideal","F","VS2",62.1,54,854,4.46,4.43,2.76
1.11,"Ideal","D","SI2",61.6,55,5648,6.66,6.62,4.09
1.2,"Good","I","VS1",61.7,62,5818,6.65,6.74,4.13
1.25,"Good","J","SI1",63.6,57,5110,6.86,6.81,4.35
0.4,"Premium","G","IF",60.8,58,1333,4.73,4.77,2.89
0.41,"Premium","E","SI2",61.3,59,683,4.8,4.85,2.96
1,"Ideal","I","SI1",62.7,56,4174,6.33,6.37,3.98
1.01,"Good","I","VS1",64.2,60,3484,6.35,6.27,4.05
1.07,"Premium","J","VS2",62.8,57,4224,6.54,6.49,4.09
1.04,"Ideal","G","VS1",62.3,56,7457,6.45,6.49,4.03
0.54,"Very Good","F","SI1",60.2,56,1404,5.28,5.39,3.21
0.5,"Good","G","VVS1",63.3,56,1966,5.07,5.1,3.22
0.3,"Ideal","F","VVS1",62.1,55,1114,4.32,4.31,2.68
0.4,"Premium","E","SI1",60.9,60,737,4.75,4.77,2.9
1.56,"Ideal","I","SI1",61.4,56,8858,7.47,7.42,4.57
1.54,"Ideal","G","VVS1",60.8,57,16316,7.49,7.45,4.54
1.51,"Premium","H","SI2",59.4,62,7235,7.47,7.31,4.39
0.3,"Premium","D","VS2",60.9,58,710,4.32,4.35,2.64
1.3,"Premium","H","SI2",60.1,57,6406,7.17,7.13,4.3
0.6,"Very Good","H","VS2",60.8,60,1557,5.39,5.44,3.29
2,"Very Good","I","SI1",62.9,59.2,15081,7.95,8.08,5.05
0.5,"Very Good","D","VS2",62.8,58,1752,5.03,5.07,3.17
0.33,"Ideal","E","SI1",62.4,56,743,4.43,4.41,2.76
1.01,"Very Good","E","SI1",60,60,5556,6.45,6.49,3.88
1.01,"Premium","G","SI1",62.5,60,4588,6.34,6.39,3.98
1.71,"Ideal","G","SI1",62.1,56,13196,7.65,7.61,4.74
1.42,"Good","H","SI2",61.8,61,7437,7.01,7.09,4.36
0.47,"Ideal","H","VS2",62.7,55,989,4.95,5.08,3.15
0.41,"Premium","F","VVS2",60.1,58,1115,4.79,4.83,2.89
1.04,"Ideal","F","VS2",62.1,57,6692,6.48,6.53,4.04
0.32,"Ideal","F","VVS1",62.1,56,926,4.39,4.43,2.74
0.46,"Ideal","E","VVS2",62.6,55,1736,4.95,4.92,3.09
0.9,"Very Good","E","VS2",63.8,55,4598,6.11,6.18,3.92
0.75,"Premium","J","SI1",61.7,56,1958,5.92,5.81,3.62
1.63,"Ideal","G","VS1",61.7,55,15697,7.56,7.6,4.68
0.41,"Premium","J","VVS1",62.2,59,775,4.71,4.75,2.94
0.42,"Very Good","E","VVS2",62.1,56,1167,4.79,4.82,2.98
1.01,"Ideal","G","VS1",61.5,56,6794,6.48,6.43,3.97
0.4,"Ideal","E","VS1",61.2,55,1005,4.79,4.76,2.92
0.42,"Premium","F","SI1",61.5,58,992,4.83,4.8,2.96
0.31,"Good","G","SI1",63.2,57,462,4.27,4.3,2.71
0.3,"Premium","J","VS1",62.6,60,506,4.28,4.22,2.66
1.51,"Very Good","E","SI2",63.4,59,9513,7.26,7.19,4.58
1.23,"Ideal","J","SI1",62.2,57,5407,6.89,6.81,4.26
2.24,"Very Good","H","SI2",62.3,57,16077,8.3,8.36,5.19
0.78,"Ideal","F","SI2",60.6,55,2365,5.99,6,3.63
1.52,"Ideal","G","VVS2",60.6,57,15760,7.45,7.49,4.52
1.03,"Ideal","F","SI1",61.3,56,6059,6.51,6.55,4
0.54,"Ideal","D","VS1",61.3,56,2378,5.3,5.27,3.24
0.34,"Ideal","E","VS1",61.2,57,1033,4.51,4.45,2.74
1.62,"Ideal","H","VS2",61.5,61,12542,7.53,7.48,4.62
1.5,"Good","F","SI2",62.6,64,8820,7.25,7.19,4.52
0.31,"Ideal","F","VVS1",62.1,54,828,4.35,4.38,2.71
0.55,"Ideal","G","VVS2",62.3,53,1799,5.27,5.29,3.29
1.01,"Very Good","G","VS1",63.1,55,6795,6.34,6.37,4.01
1.09,"Ideal","F","VS2",61.2,56,7238,6.68,6.65,4.08
0.96,"Premium","G","SI2",61.1,59,4059,6.32,6.28,3.85
0.63,"Premium","H","VS1",62.9,60,1921,5.45,5.33,3.39
0.74,"Very Good","J","IF",60.3,58,2277,5.82,5.86,3.52
0.4,"Ideal","F","SI1",59.8,57,916,4.82,4.85,2.89
0.54,"Ideal","D","SI1",60.7,56,1662,5.27,5.3,3.21
0.33,"Premium","E","VS2",61.5,59,723,4.42,4.46,2.73
0.32,"Ideal","I","SI1",62.4,57,554,4.37,4.35,2.72
0.38,"Ideal","H","SI1",61.5,56,680,4.67,4.69,2.88
0.33,"Ideal","G","VVS1",62.3,55,868,4.43,4.46,2.77
1,"Premium","G","SI2",62.7,59,4095,6.3,6.36,3.97
0.3,"Very Good","I","VVS2",63,57,596,4.24,4.27,2.68
0.25,"Very Good","F","IF",63.3,59,526,3.99,4.04,2.54
1.7,"Good","I","SI1",59.3,58,10796,7.72,7.77,4.59
0.53,"Ideal","I","IF",62.1,55,1654,5.18,5.22,3.23
0.32,"Ideal","E","VVS1",60.9,57,954,4.42,4.45,2.7
1.01,"Fair","E","SI2",67.6,57,2862,6.21,6.11,4.18
0.32,"Ideal","D","SI1",61.5,56,756,4.42,4.39,2.71
1.53,"Very Good","J","VS2",62.9,59,7418,7.31,7.34,4.61
0.58,"Premium","G","VVS2",61.5,60,1975,5.37,5.33,3.29
0.3,"Premium","H","VS1",62.3,58,526,4.26,4.28,2.66
0.61,"Ideal","G","SI1",62,54,1579,5.48,5.5,3.4
0.43,"Premium","I","SI2",59.8,59,726,4.94,4.9,2.94
1.2,"Very Good","G","SI2",62.6,60,5116,6.68,6.74,4.2
0.5,"Ideal","D","VS2",62.8,56,1845,5.08,5.04,3.18
1.52,"Premium","J","VS2",62,59,7899,7.31,7.28,4.52
0.3,"Ideal","F","VS2",61.9,55,776,4.32,4.31,2.67
0.3,"Ideal","H","SI1",62.6,55,540,4.32,4.28,2.69
1.27,"Premium","H","VS2",62.6,59,6755,6.83,6.93,4.31
1.34,"Premium","G","VS2",60.7,59,9293,7.07,7.04,4.28
0.77,"Premium","J","VS1",62.2,61,2005,5.85,5.82,3.63
0.44,"Good","J","VS1",63.2,57,694,4.82,4.86,3.06
1,"Fair","F","VS1",65.3,59,6397,6.25,6.21,4.07
0.56,"Very Good","D","VS1",60.8,60,2188,5.32,5.34,3.24
2.01,"Premium","I","VS2",61,61,16778,8.15,7.99,4.92
0.92,"Ideal","G","VS2",62,57,5989,6.21,6.24,3.86
0.5,"Very Good","E","SI2",61.6,58,1235,5.08,5.11,3.14
0.32,"Very Good","I","VS2",61.1,57,449,4.39,4.42,2.69
1.21,"Ideal","H","VS2",61.9,55,7250,6.86,6.8,4.23
0.32,"Premium","G","VS2",58.4,57,672,4.53,4.51,2.64
1.6,"Premium","F","SI2",58.7,58,10286,7.76,7.68,4.53
1.25,"Premium","J","SI2",62.3,59,4410,6.86,6.82,4.26
0.4,"Ideal","H","SI2",62.2,56,596,4.71,4.75,2.94
0.9,"Very Good","D","SI1",62.6,58,4381,6.11,6.15,3.84
0.36,"Premium","G","VS1",61.7,59,726,4.55,4.59,2.82
1.2,"Very Good","I","VS2",62.5,59,5724,6.73,6.77,4.22
1.69,"Very Good","I","VVS2",60.4,59,12394,7.7,7.73,4.66
0.3,"Very Good","D","SI1",62.1,58,552,4.25,4.28,2.65
0.78,"Ideal","H","VVS2",62.1,56,3581,5.88,5.9,3.66
0.6,"Ideal","G","VS1",61.3,60,2091,5.39,5.41,3.31
0.51,"Ideal","E","SI1",61.1,56,1343,5.17,5.2,3.17
0.9,"Very Good","F","VS2",63.2,57,4715,6.12,6.07,3.85
0.72,"Ideal","H","IF",61.4,56,3257,5.76,5.8,3.55
1.01,"Ideal","G","VS1",59.1,55,7059,6.6,6.53,3.88
1.22,"Ideal","I","SI2",61.8,57,4612,6.9,6.83,4.23
0.31,"Premium","H","VVS2",62.3,60,625,4.31,4.36,2.7
0.59,"Very Good","F","IF",59.9,63,2632,5.44,5.47,3.27
0.26,"Very Good","D","VS2",60.8,59,403,4.13,4.16,2.52
0.79,"Ideal","D","SI1",61.3,54,3328,5.96,6.01,3.67
0.72,"Fair","E","VS2",64.4,59,2691,5.67,5.64,3.64
0.83,"Very Good","I","VVS1",61.8,56,3774,6,6.03,3.72
0.32,"Ideal","E","VVS2",62.3,56,1080,4.4,4.37,2.73
2.03,"Very Good","G","SI1",61.7,54,18507,8.07,8.19,5.02
0.73,"Ideal","I","VVS2",61.9,55,2513,5.8,5.84,3.6
0.77,"Good","E","VS2",63.4,57,3291,5.8,5.84,3.69
1.39,"Ideal","J","VS2",60.3,57,6366,7.26,7.24,4.37
0.54,"Ideal","H","VS2",62,54,1378,5.22,5.27,3.25
1.24,"Very Good","H","VVS2",61.3,55,8438,6.94,6.96,4.26
0.53,"Ideal","F","VVS1",61.4,57,2860,5.23,5.2,3.2
1.51,"Ideal","F","SI1",60.7,59,11302,7.42,7.44,4.51
0.3,"Ideal","E","VS1",62.1,57,670,4.3,4.33,2.68
1.2,"Very Good","I","SI1",61.2,62,5226,6.75,6.84,4.16
1,"Premium","E","SI1",62.6,60,5544,6.35,6.3,3.97
0.57,"Very Good","H","VVS1",59.6,58,1914,5.4,5.43,3.23
1.2,"Very Good","G","VS2",62.2,58,8124,6.75,6.79,4.21
0.3,"Good","H","SI1",63.4,57,421,4.27,4.31,2.72
0.5,"Ideal","D","SI2",62.4,56,1239,5.06,5.1,3.17
0.33,"Very Good","D","SI1",61.5,60,608,4.41,4.44,2.72
1,"Good","E","VS1",60,65,7190,6.48,6.43,3.87
0.7,"Ideal","E","SI1",62.8,55,2677,5.65,5.69,3.56
0.71,"Premium","E","SI2",62.2,57,2386,5.74,5.68,3.55
0.7,"Fair","E","SI1",66.7,59,2241,5.49,5.45,3.65
0.51,"Very Good","F","SI1",62,54,1265,5.15,5.18,3.2
0.7,"Good","H","VS2",64.2,58,2330,5.58,5.61,3.59
1.01,"Good","E","VS1",63.6,57,7665,6.41,6.35,4.06
1.07,"Ideal","F","SI2",61.5,57,4678,6.57,6.6,4.05
0.77,"Very Good","G","VVS2",62.8,58,3829,5.84,5.78,3.65
0.41,"Good","H","SI1",63.3,56,683,4.71,4.74,2.99
2.26,"Good","I","SI2",56.9,60,16241,8.73,8.66,4.95
1.51,"Good","I","VS2",63.8,57,7577,7.24,7.18,4.6
0.4,"Ideal","F","SI2",61.8,53,688,4.77,4.74,2.94
0.52,"Ideal","E","SI1",60.9,57,1713,5.17,5.2,3.16
1,"Premium","F","VVS2",61.5,59,9139,6.4,6.38,3.93
1.01,"Very Good","I","SI2",63.4,57,5000,6.3,6.39,4.02
1.01,"Good","E","SI2",58.5,61,4506,6.51,6.55,3.82
0.34,"Premium","G","VS2",59.6,62,714,4.56,4.54,2.71
1.62,"Very Good","D","SI2",61.2,61,9034,7.53,7.6,4.63
0.31,"Premium","I","SI1",61.4,61,523,4.39,4.34,2.68
0.31,"Ideal","D","VS2",61.3,57,734,4.37,4.4,2.69
1.61,"Ideal","F","SI1",60.9,57,10197,7.58,7.51,4.6
0.81,"Premium","F","SI1",61.6,58,3311,5.96,5.92,3.66
0.43,"Ideal","F","VVS2",61.9,56,1169,4.82,4.84,2.99
0.3,"Ideal","G","VVS1",61.4,56,737,4.32,4.34,2.66
0.5,"Very Good","E","SI1",62.7,55,1331,5.06,5.09,3.18
0.52,"Ideal","D","VS2",61,57,1868,5.21,5.18,3.17
0.59,"Very Good","D","SI1",62.8,57,1743,5.32,5.38,3.36
0.53,"Ideal","D","SI1",61.6,56,1621,5.2,5.23,3.21
0.41,"Very Good","F","SI1",62.8,57,755,4.69,4.73,2.96
0.53,"Ideal","F","VS2",61.2,56,1655,5.22,5.25,3.2
2.5,"Premium","I","SI2",59,60,18447,8.76,8.89,5.21
1,"Premium","F","SI1",58.6,58,5292,6.56,6.52,3.83
2.06,"Ideal","F","SI2",62.7,57,15970,8.19,8.09,5.1
0.56,"Ideal","D","SI1",62.5,56,1608,5.24,5.28,3.29
0.7,"Very Good","F","VS2",61,59,2362,5.69,5.75,3.49
1.01,"Premium","I","SI1",61.8,58,4185,6.45,6.37,3.96
0.71,"Ideal","D","SI1",61.5,56,2719,5.7,5.75,3.52
1.57,"Very Good","H","SI1",62,60,10200,7.4,7.44,4.6
1.1,"Premium","H","SI1",63,58,4916,6.6,6.55,4.14
1.52,"Good","J","VS2",63.1,61,6982,7.19,7.23,4.55
1.52,"Very Good","J","VVS1",63.6,56,9593,7.26,7.33,4.64
2.13,"Ideal","H","SI1",62.2,55,18275,8.2,8.27,5.12
0.52,"Ideal","G","VS1",62.3,55,1815,5.16,5.14,3.21
1.21,"Ideal","H","SI1",62.7,56,4249,6.81,6.78,4.26
1.05,"Ideal","F","VVS2",62.1,54,9257,6.55,6.52,4.06
2.74,"Very Good","H","SI2",63.3,58,17184,8.88,8.84,5.61
0.88,"Premium","D","SI2",60.9,61,3390,6.16,6.13,3.74
1.02,"Ideal","D","VS1",60.5,56,8181,6.55,6.48,3.94
0.42,"Premium","G","VVS1",60.2,59,1235,4.84,4.82,2.91
1.53,"Premium","H","SI2",62.5,59,8499,7.4,7.36,4.61
0.35,"Very Good","G","IF",59.1,59,1044,4.59,4.62,2.72
0.38,"Premium","G","VS2",60.4,57,983,4.7,4.67,2.83
1,"Ideal","G","VS2",62.1,57,6612,6.42,6.37,3.97
0.34,"Ideal","H","VS1",62.3,55,765,4.48,4.45,2.78
0.33,"Ideal","E","VS2",61.5,57,928,4.47,4.41,2.73
0.42,"Premium","E","SI1",59.8,61,926,4.89,4.85,2.91
0.51,"Very Good","G","VS2",62.7,58,1438,5.09,5.12,3.2
0.5,"Ideal","G","VVS2",62.8,57,1858,5.07,5.05,3.18
0.35,"Ideal","I","IF",62.7,55,778,4.51,4.55,2.84
0.72,"Ideal","G","SI2",61.9,57,2068,5.73,5.77,3.56
0.36,"Ideal","G","SI2",61.1,54,505,4.61,4.65,2.83
0.71,"Ideal","H","VS1",61.2,56,2909,5.76,5.81,3.54
0.71,"Ideal","F","VS1",62.1,56,3457,5.69,5.75,3.55
1.01,"Fair","E","SI2",57.1,59,4600,6.65,6.69,3.81
0.7,"Very Good","G","SI1",63.6,58,2209,5.61,5.65,3.58
1.02,"Very Good","F","SI2",60.3,59,4241,6.5,6.53,3.93
0.52,"Ideal","D","SI1",62.2,57,1720,5.16,5.13,3.2
1.32,"Very Good","G","SI2",61.6,57,7173,6.98,7.05,4.32
0.53,"Ideal","D","SI1",62.3,56,1683,5.18,5.15,3.22
0.71,"Fair","D","VS1",65.4,59,2747,5.62,5.58,3.66
0.3,"Ideal","F","VS1",61.5,55,754,4.35,4.33,2.67
0.26,"Very Good","F","VVS2",63.2,54,597,4.05,4.08,2.57
0.71,"Ideal","F","SI1",62.5,57,2262,5.68,5.74,3.57
0.95,"Good","I","SI2",63.8,57,2956,6.13,6.23,3.94
0.31,"Ideal","D","VS2",61.7,55,734,4.35,4.4,2.7
1.58,"Ideal","I","SI1",62.6,56,9176,7.45,7.51,4.68
0.49,"Ideal","H","SI1",59.9,56,1102,5.15,5.18,3.1
1.76,"Ideal","G","VS1",62.8,55,18178,7.74,7.7,4.85
0.6,"Ideal","F","VVS2",60.9,57,2698,5.45,5.48,3.33
1.47,"Premium","J","SI2",60,58,6223,7.36,7.31,4.4
0.33,"Ideal","G","IF",62.7,56,861,4.39,4.44,2.77
1.01,"Ideal","F","SI2",61.5,56,4458,6.42,6.49,3.97
1,"Premium","E","SI1",59.7,57,5322,6.56,6.48,3.89
0.4,"Ideal","F","VVS2",61.1,57,972,4.73,4.8,2.91
0.8,"Ideal","H","VS1",63.1,58,3111,5.89,5.96,3.74
0.34,"Premium","E","SI1",59.3,58,596,4.55,4.59,2.71
0.9,"Premium","I","VS2",58.7,60,2923,6.35,6.28,3.7
0.43,"Premium","G","VVS1",62,59,1264,4.82,4.8,2.98
1,"Very Good","F","SI1",63.3,58,5528,6.28,6.39,4.01
1.01,"Very Good","H","SI1",61.2,60,5433,6.41,6.44,3.93
1.72,"Fair","J","I1",68.5,59,5240,7.31,7.24,4.98
1,"Premium","F","SI1",62.2,58,4586,6.39,6.35,3.96
0.27,"Ideal","E","VVS2",61.8,57,622,4.12,4.16,2.56
0.31,"Premium","F","VS2",61.5,56,802,4.41,4.34,2.69
0.43,"Ideal","J","VS1",61.7,58,703,4.8,4.84,2.98
2.07,"Premium","J","SI1",61.7,60,13731,8.23,8.15,5.05
0.52,"Ideal","H","VVS1",61.7,56,1625,5.17,5.2,3.19
2,"Premium","J","SI1",62.2,59,12308,7.97,7.92,4.94
0.5,"Ideal","G","VVS2",62.1,57,1766,5.06,5.09,3.15
0.56,"Ideal","F","VS2",62.1,57,1814,5.29,5.28,3.28
0.56,"Premium","F","VS1",58.2,60,2016,5.41,5.38,3.14
0.96,"Premium","E","SI2",62.8,60,3016,6.3,6.24,3.94
0.41,"Premium","E","VS1",60.6,59,1153,4.8,4.77,2.9
0.72,"Very Good","G","VS1",60.6,56,2970,5.84,5.87,3.55
0.42,"Premium","D","SI2",60.8,59,898,4.83,4.77,2.92
0.35,"Ideal","H","IF",61.9,55,921,4.51,4.54,2.8
0.7,"Ideal","J","SI1",62.3,57,1974,5.69,5.71,3.55
0.51,"Very Good","F","VVS2",62,56,2041,5.1,5.15,3.17
0.35,"Ideal","E","VS1",61.6,57,829,4.5,4.53,2.78
0.23,"Ideal","E","VS2",61.8,54,548,3.94,3.96,2.44
0.3,"Good","F","VVS1",63.7,59,965,4.24,4.17,2.68
